"befnr","StartYear","industry_category","LegalForm","Location","FollowerBusiness","IndAffBusiness","EmployeeNum","CompanyEndYear","YearsWorkExperience","YearsSchooling","CapitalInvested","GenSpeBusiness","TradInnoBusiness","MarketScope","CompetitionIntensity","Seasonality","OrderClusters","IndustryExperience","FounderFather","beg1","beg2","beg3","beg4","beg5","beg6","beg7","beg8","beg9","beg10","beg11","beg12","beg13","beg14","beg15","beg16","beg17","beg18","beg19","beg20","end1","end2","end3","end4","end5","end6","end7","end8","end9","end10","end11","end12","end13","end14","end15","end16","end17","end18","end19","end20","typ1","typ2","typ3","typ4","typ5","typ6","typ7","typ8","typ9","typ10","typ11","typ12","typ13","typ14","typ15","typ16","typ17","WorkExperienceYears","SelfEmploymentYears","SelfEmploymentExp","EndYear_Clean","Censored","SurvivalTime","SurvivalMonths"
"6990",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",0,"Business still registered",11,13,6000,"Specialist","Traditional","National",3,3,2,1,0,"50","53","58","61","68","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","53","58","61","68","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ne","ab","se","m","m","m","m","m","m","m","m","m","m","m","m",15,18,"1.0",1990,1,4,48
"6992",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",10,11,30000,"Specialist","Traditional","National",5,3,NA,0,0,"64","71","79","80","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","71","79","80","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ne","ne","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",13,0,"0.0",1990,1,4,48
"6993",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",28,11,10000,"Generalist","Traditional","Local",NA,5,NA,1,0,"82","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",4,0,"0.0",1990,1,4,48
"6997",1985,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"89",14,12,120000,"Specialist","Innovative","National",3,5,3,1,0,"46","56","74","76","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","56","74","76","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ab","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",39,0,"0.0",1989,0,4,48
"7053",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",20,12,5000,"Specialist",NA,"National",4,5,5,1,0,"72","76","79","80","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","76","79","80","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","le","se","m","m","m","m","m","m","m","m","m","m","m","m","m",8,6,"1.0",1990,1,4,48
"7064",1986,"Construction","Small tradesman","Upper Bavaria","Follower","Independent",0,"Business still registered",30,12,5000,"Specialist","Traditional","Local",NA,4,3,0,0,"51","54","72","75","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","54","72","75","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","se","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",32,3,"1.0",1990,1,4,48
"7066",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",21,13,0,"Specialist","Traditional","National",5,3,2,0,0,"73","80","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","80","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",13,0,"0.0",1990,1,4,48
"7067",1986,"Other Services","Small tradesman","Munich","Follower","Affiliated",1,"Business still registered",20,14,0,"Specialist","Innovative","National",5,NA,NA,1,0,"68","71","72","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","71","72","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ne","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",17,0,"0.0",1990,1,4,48
"7069",1986,"Manufacturing","Small tradesman","Munich","Newcomer","Independent",1,"Business still registered",12,14,15000,"Specialist","Innovative","Local",5,2,3,1,0,"78","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","84","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",6,0,"0.0",1990,1,4,48
"7071",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",19,"Business still registered",7,11,35000,"Specialist","Innovative","National",3,NA,3,1,0,"59","69","77","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","69","77","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ne","ne","m","m","m","m","m","m","m","m","m","m","m","m","m","m",10,0,"0.0",1990,1,4,48
